tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871271	tvEpisode	Episode dated 20 March 1999	Episode dated 20 March 1999	0	1999	\N	\N	Music
tt0871272	tvEpisode	Episode dated 27 March 1999	Episode dated 27 March 1999	0	1999	\N	\N	Music
tt0871273	tvEpisode	Episode dated 3 April 1999	Episode dated 3 April 1999	0	1999	\N	\N	Music
tt0871274	tvEpisode	Episode dated 10 April 1999	Episode dated 10 April 1999	0	1999	\N	\N	Music
tt0871275	tvEpisode	Episode dated 17 April 1999	Episode dated 17 April 1999	0	1999	\N	\N	Music
tt0871276	tvEpisode	Episode dated 12 February 2000	Episode dated 12 February 2000	0	2000	\N	\N	Music
tt0871277	tvEpisode	Episode dated 19 February 2000	Episode dated 19 February 2000	0	2000	\N	\N	Music
tt0871278	tvEpisode	Episode dated 26 February 2000	Episode dated 26 February 2000	0	2000	\N	\N	Music
tt0871279	tvEpisode	Episode dated 30 October 2000	Episode dated 30 October 2000	0	2000	\N	\N	Music
tt0871280	tvEpisode	Episode dated 6 November 2000	Episode dated 6 November 2000	0	2000	\N	\N	Music
tt0871281	tvEpisode	Episode dated 13 November 2000	Episode dated 13 November 2000	0	2000	\N	\N	Music
tt0871282	tvEpisode	Episode dated 20 November 2000	Episode dated 20 November 2000	0	2000	\N	\N	Music
tt0871283	tvEpisode	Episode dated 27 November 2000	Episode dated 27 November 2000	0	2000	\N	\N	Music
tt0871284	tvEpisode	Episode dated 4 December 2000	Episode dated 4 December 2000	0	2000	\N	\N	Music
tt0871285	tvEpisode	Episode dated 11 May 2003	Episode dated 11 May 2003	0	2003	\N	\N	Music
tt0871286	tvEpisode	Episode dated 18 May 2003	Episode dated 18 May 2003	0	2003	\N	\N	Music
tt0871287	tvEpisode	Episode dated 25 May 2003	Episode dated 25 May 2003	0	2003	\N	\N	Music
tt0871288	tvEpisode	Episode dated 1 June 2003	Episode dated 1 June 2003	0	2003	\N	\N	Music
tt0871289	tvEpisode	Episode dated 8 June 2003	Episode dated 8 June 2003	0	2003	\N	\N	Music
tt0871290	tvEpisode	Episode dated 15 June 2003	Episode dated 15 June 2003	0	2003	\N	\N	Music
